Miss Jerry| The adventures of a female reporter in the 1890s.;
Anders als die Andern| Two male musicians fall in love, but blackmail and scandal makes the affair take a tragic turn.;
Ravished Armenia| Aurora Mardiganian, a young and beautiful Armenian girl, lives with her parents in the Turkish city of Harpoot. Her father, a prosperous merchant, was preparing to send her to the West to ...;
La principessa delle ostriche| An American heiress seeks the hand of an impoverished German prince.;
El automvil gris| A gang terrorizes Mexico Citys high society on 1915. Murder, kidnaping and robbery are their trademarks. One police inspector Cabrera follows the gang crimes and eventually send them to ...;
Il ritorno al paradiso terrestre| A woman finds herself all alone in a remote harbor with the man responsible for the murder of her father. With seemingly nobody around to protect her, she has to be resourceful.;
Behind the Door| A GermanAmerican naval officer takes revenge against the German submarine commander who brutalized his wife.;
Mariti ciechi| An Austrian officer sets out to seduce a neglected young wife.;
Giglio infranto| A frail waif, abused by her brutal boxer father in Londons seedy Limehouse District, is befriended by a sensitive Chinese immigrant with tragic consequences.;
The Busher| A young baseball pitcher in the bush leagues is discovered by a bigleague manager and given his chance in the major leagues. But will he be up to the challenge;
DaddyLongLegs| An orphan discovers that she has an anonymous benefactor who is willing to pay her college tuition, unaware hes the same man who has been romantically pursuing her.;
The Delicious Little Devil| A poor hatcheck girl loses her job and is forced to get a job as a dancer at a roadhouse. There she falls in love with the son of a rich businessman. The boys father, believing her to be ...;
Dont Change Your Husband| Leila Porter comes to dislike her husband James, a glue king who is always eating onions and looking sloppy. But after she divorces him and marries twotiming playboy Schuyler Van Sutphen the nowreformed James looks pretty good.;
Eyes of Youth| A young woman at a crossroads is shown what her future would be like for each choice.;
For Better, for Worse| Dr. Edward Meade and friend Richard Burton both love Sylvia Norcross. Both enlist in the military, but Meade stays back to care for deformed children. Sylvia thinks him a coward and marries...;
Getting Mary Married| A young woman must resist the charms of a handsome stranger and stay single if she wants to inherit a fortune.;
The Greatest Question| An orphan girl is given shelter by a farm family, but soon finds herself in the clutches of a murderous farmer and his wife.;
The Grim Game| Jailed unjustly for a murder he did not commit, a young man uses his amazing powers of escape to free himself and pursue the actual killers, who hold his fiance captive.;
Harakiri| The Buddhist priest wants the Daughter of the Daimyo to become a priestess at the Forbidden Garden. The Daimyo thinks if he were in Europe that his daughter should decide on her own, but he...;
